trial;start_time;rt;correct;fact_id;question;context_1;context_ 0;2;answer;chosen_context;encounter_2;reading_time;fogetting_rate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;844606.0;1869.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.5105468749999997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;849836.0;3654.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.39960937500000004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;856119.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.5601562499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;862332.0;1105.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.39921875000000007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;866018.0;790.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.5597656249999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;869317.0;inf;TRUE;5;woede;Ik probeer mijn <b>woede</b> te onderdrukken.;Ik vind <b>woede</b> moeilijk om mee om te gaan.;rage;anger;woede;FALSE;719.6;0.310546875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;873498.0;1336.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.5226562499999997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;877299.0;988.0;TRUE;13;vaag;Ik heb een <b>vaag</b> idee van wat ik wil doen voor mijn scriptie.;Het plan kwam niet verder dan een <b>vage</b> gedachte.;vague;vaag;FALSE;1148.6;0.15156250000000002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;881972.0;10659.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.5230468749999997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;895642.0;1402.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;0.374609375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;899419.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.5726562499999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;903898.0;949.0;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.3902343749999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;906899.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.6222656249999998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;913563.0;1239.0;TRUE;21;behoefte;Ik heb <b>behoefte</b> aan avondeten.;Kinderen hebben <b>behoefte</b> aan veiligheid.;need;behoefte;FALSE;563.6;0.16328125000000002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;916773.0;2765.0;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.6718749999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;923796.0;1147.0;TRUE;5;woede;Ik probeer mijn <b>woede</b> te onderdrukken.;Ik vind <b>woede</b> moeilijk om mee om te gaan.;rage;anger;woede;FALSE;719.6;0.28593749999999996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;926991.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.721484375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;941253.0;5817.0;TRUE;20;betreffen;Het <b>betreft</b> een vrouw.;Die vraag <b>betreft</b> hem ook.;concern;to concern;concerns;betreffen;FALSE;407.6;375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;949753.0;inf;TRUE;15;beseffen;Ik <b>besef</b> dat ik het fout heb gedaan.;Ik heb niet <b>beseft</b> dat het zo laat was.;realize;to realize;beseffen;FALSE;680.6;0.77109375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;955568.0;inf;TRUE;17;bewaren;Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.;Hoe lang kun je deze kaas <b>bewaren</b>?;keep;to keep;bewaren;FALSE;1148.6;0.4062499999999999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
